中国京冶工程技术有限公司,91110108102055141N 
北京建谊建筑工程有限公司,9111010662590013XB 
中国建筑技术集团有限公司,91110000100006856A 
北京建工国际建设工程有限责任公司,91110000678201092E 
北京首钢建设集团有限公司,91110000633700269T 
北京房地集团有限公司,911100007733505046 
中冶京诚工程技术有限公司,91110302757700076U 
中国电子工程设计院有限公司,91110000400007412C 
北京城建设计发展集团股份有限公司,91110000101360785M 
中铁三局集团第四工程有限公司,91110000102334212L 
中国中元国际工程有限公司,911100001000064426 
中国轻工建设工程有限公司,911101026631073512 
北京金港建设股份有限公司,911100007263609379 
北京城建安装集团有限公司,9111000010110532XK 
中冶节能环保有限责任公司,9111010810195169X3 
中铁电气化局集团有限公司,91110000625906144E 
泛华建设集团有限公司,91110000722604658T 
北京博大经开建设有限公司,91110302783950546E 
多维联合集团有限公司,91110000802346636F 
中国凯瑞国际经济技术合作有限公司,91110000101692085B 
北京国泰建设集团有限公司,91110000722678497K 
中机城市建设有限公司,91110229114112617H 
航天建筑设计研究院有限公司,911101061021633613 
中建二局安装工程有限公司,91110102104326072L 
中国航空规划设计研究总院有限公司,91110000100011188F 
北京恒通创新整体房屋组装有限公司,91110111556891793M 
北京首华建设经营有限公司,91110000722617512U 
北京市房山城建集团有限公司,91110000722616202J 
国都建设（集团）有限公司,91110000633739120D 
北京市朝阳田华建筑集团公司,91110000101718740F 
北京东方诚国际钢结构工程有限公司,91110113102565950X 
北京川岩建设工程有限责任公司,911101156738236779 
中瑞建设集团有限公司,91110000692324697N 
北京四汇建筑工程有限责任公司,91110108101881193T 
北京市丰房建筑工程有限公司,91110106102130017J 
北京高士达建筑工程有限责任公司,91110116600428596R 
北方国际合作股份有限公司,91110000192472028J 
新兴铸管建设工程有限公司,91110108101938540H 
北京城建一建设发展有限公司,91110000722602417R 
北京中宏基建筑工程有限责任公司,91110105101635718R 
北京市日盛达建筑企业集团有限公司,9111010563302044XW 
北京百键开发建设有限公司,911101051012091297 
中铁城建集团北京工程有限公司,911100006766024236 
北京华铭保信建筑工程发展有限公司,9111000070022905XJ 
北京城建五建设集团有限公司,91110000101640752H 
北京城乡一建设工程有限责任公司,110000001505206 
北京城建十一建设工程有限公司,91110108774749189R 
华润建筑有限公司,911101017109278399 
